GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.grpc,PrincipalGrpcClient,638,90,24,2,123,23,59,7,46,7
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.pdf,LibretaCalificacionesPdfBuilder,31,370,3,7,7,44,3,4,0,2
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.pdf,AsistenciaMensualPdfBuilder,31,355,3,7,7,48,3,4,0,2
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.pdf,Fonts,0,11,0,0,0,2,0,1,0,1
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.pdf,LibretaCalificacionesPdfBuilder.Col,0,12,0,0,0,1,0,1,0,1
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.pdf,CertificadoMatriculaPdfBuilder,0,279,1,1,0,44,1,1,0,1
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.pdf,PdfLayout,2,181,3,5,0,30,3,7,0,6
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.pdf,FichaRepresentantePdfBuilder,0,170,0,0,0,26,0,1,0,1
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.pdf,FichaEstudiantePdfBuilder,155,186,6,4,23,31,5,1,0,1
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.pdf,PdfValues,11,29,4,4,3,5,4,4,0,3
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.pdf,NominaMatriculasPdfBuilder.Col,0,12,0,0,0,1,0,1,0,1
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.pdf,PdfCanvas,59,306,6,19,11,55,5,23,1,14
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.pdf,PdfTheme,0,48,0,0,0,17,0,4,0,4
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.pdf,AsistenciaMensualPdfBuilder.Col,0,12,0,0,0,1,0,1,0,1
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.pdf,PdfCanvas.Align,0,34,0,0,0,1,0,1,0,1
sga-secretaria-backend,ec.uteq.sga.secretaria.infrastructure.pdf,NominaMatriculasPdfBuilder,19,372,6,10,5,42,6,5,0,3
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,EstudianteService,182,1027,51,65,12,198,48,28,2,16
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,CatalogoService.Grado,0,15,0,0,0,1,0,1,0,1
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,ReportesService,28,430,11,11,4,94,10,14,0,13
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,LamportClock,0,39,0,0,0,6,0,7,0,7
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,AsignaturaService,18,219,3,11,0,53,5,12,2,8
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,CatalogoService.AnoLectivo,0,18,0,0,0,1,0,1,0,1
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,MatriculaService,40,835,27,43,0,147,29,29,2,21
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,IaSecretariaService,38,426,27,45,3,94,25,16,0,5
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,GradoService,20,239,6,6,0,45,6,13,0,13
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,ImportacionEstudiantesService,566,487,97,50,101,123,60,30,4,11
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,AsistenciaConsultaService,18,0,0,0,6,0,2,0,2,0
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,CatalogoService,101,0,4,0,17,0,12,0,10,0
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,FichaEstudianteService,5,206,6,16,0,36,6,12,0,7
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,AuditoriaService,134,357,13,11,80,171,14,10,3,9
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,CatalogoService.Paralelo,0,15,0,0,0,1,0,1,0,1
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,AnoLectivoService,19,465,8,20,4,97,8,18,0,12
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,CatalogoService.Asignatura,15,0,0,0,1,0,1,0,1,0
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,CalendarioService,74,281,10,8,7,65,11,12,5,9
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,CalificacionConsultaService,159,0,14,0,37,0,11,0,4,0
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,MallaCurricularService,17,707,12,38,0,136,14,22,2,9
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,AuditHashService,118,218,16,14,36,66,13,11,2,7
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,HistorialService,487,599,64,36,80,104,55,19,11,13
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,UsuarioService,19,383,11,21,1,81,14,14,3,9
sga-secretaria-backend,ec.uteq.sga.secretaria.application.service,RepresentanteService,26,401,4,18,4,85,6,17,2,10
