GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sga-principal,ec.edu.uteq.sga,SgaPrincipalApplication,5,3,0,0,2,1,1,1,1,1
sga-principal,ec.edu.uteq.sga.application.report,GeneradorReporteAcademicoTemplate,60,3,0,0,15,1,4,1,4,1
sga-principal,ec.edu.uteq.sga.application.report,ReporteNotasPeriodoPDF,104,3,4,0,16,1,3,1,1,1
sga-principal,ec.edu.uteq.sga.infrastructure.web,TraceIdFilter,25,3,4,0,9,1,3,1,1,1
sga-principal,ec.edu.uteq.sga.infrastructure.web,TraceContext,13,21,1,1,5,5,4,2,3,2
sga-principal,ec.edu.uteq.sga.application.service,RepresentanteConsultaService,65,321,1,7,6,55,3,18,2,15
sga-principal,ec.edu.uteq.sga.application.service,GradoService,362,0,16,0,77,0,28,0,20,0
sga-principal,ec.edu.uteq.sga.application.service,EmailService,86,4,0,0,15,1,2,1,2,1
sga-principal,ec.edu.uteq.sga.application.service,NotificacionService,188,0,12,0,43,0,14,0,8,0
sga-principal,ec.edu.uteq.sga.application.service,AnoLectivoService,13,190,2,6,1,47,3,13,1,11
sga-principal,ec.edu.uteq.sga.application.service,PersonaService,344,0,28,0,81,0,26,0,12,0
sga-principal,ec.edu.uteq.sga.application.service,MatriculaService.PaginaMatriculas,0,9,0,0,0,1,0,1,0,1
sga-principal,ec.edu.uteq.sga.application.service,EstudianteService,164,574,51,39,25,133,40,22,2,15
sga-principal,ec.edu.uteq.sga.application.service,ConfiguracionCalificacionService,287,314,22,14,58,80,34,17,18,15
sga-principal,ec.edu.uteq.sga.application.service,AsignaturaService,0,159,1,5,0,36,1,11,0,9
sga-principal,ec.edu.uteq.sga.application.service,MatriculaService,156,1193,78,78,5,202,81,23,8,18
sga-principal,ec.edu.uteq.sga.application.service,ImportacionExcelService,1069,9,137,0,231,2,84,1,14,1
sga-principal,ec.edu.uteq.sga.application.service,ImportacionCasService,735,4,84,0,153,1,49,1,7,1
sga-principal,ec.edu.uteq.sga.application.service,AuditoriaService,198,188,17,17,37,46,20,15,9,9
sga-principal,ec.edu.uteq.sga.application.service,EstudianteService.PaginaEstudiantes,0,9,0,0,0,1,0,1,0,1
sga-principal,ec.edu.uteq.sga.application.service,AsignacionService,718,0,36,0,128,0,49,0,31,0
sga-principal,ec.edu.uteq.sga.application.service,TeacherAuthorizationService,165,118,21,15,22,22,26,8,12,4
sga-principal,ec.edu.uteq.sga.application.service,UsuarioService,157,382,14,8,28,92,13,16,5,13
sga-principal,ec.edu.uteq.sga.application.service,LamportClock,4,35,0,0,1,5,1,6,1,6
sga-principal,ec.edu.uteq.sga.presentation.controller,ImportacionExcelController,12,0,0,0,2,0,2,0,2,0
sga-principal,ec.edu.uteq.sga.presentation.controller,EstudianteController,25,0,0,0,4,0,4,0,4,0
sga-principal,ec.edu.uteq.sga.presentation.controller,EstudianteConsultaController,366,0,8,0,64,0,6,0,2,0
sga-principal,ec.edu.uteq.sga.presentation.controller,FotoUploadController,277,4,27,0,52,2,18,1,4,1
sga-principal,ec.edu.uteq.sga.presentation.controller,MallaCurricularController,873,0,76,0,138,0,55,0,17,0
sga-principal,ec.edu.uteq.sga.presentation.controller,DocenteAsistenciaController,416,3,28,0,92,1,20,1,6,1
sga-principal,ec.edu.uteq.sga.presentation.controller,HorarioController,367,12,18,0,69,5,19,1,10,1
sga-principal,ec.edu.uteq.sga.presentation.controller,TestFlowController,15,0,0,0,2,0,2,0,2,0
sga-principal,ec.edu.uteq.sga.presentation.controller,PersonaController,39,0,0,0,7,0,6,0,6,0
sga-principal,ec.edu.uteq.sga.presentation.controller,DocenteContextController,287,3,10,0,64,1,11,1,6,1
sga-principal,ec.edu.uteq.sga.presentation.controller,UsuarioController,57,0,0,0,12,0,8,0,8,0
sga-principal,ec.edu.uteq.sga.presentation.controller,ImportacionCasController,12,0,0,0,2,0,2,0,2,0
sga-principal,ec.edu.uteq.sga.presentation.controller,ConfiguracionCalificacionController,85,0,0,0,15,0,13,0,13,0
sga-principal,ec.edu.uteq.sga.presentation.controller,MatriculaController,71,0,0,0,11,0,6,0,6,0
sga-principal,ec.edu.uteq.sga.presentation.controller,AnoLectivoController,40,0,0,0,8,0,6,0,6,0
sga-principal,ec.edu.uteq.sga.presentation.controller,EmailTestController,31,0,0,0,13,0,1,0,1,0
sga-principal,ec.edu.uteq.sga.presentation.controller,AuthController,101,0,0,0,26,0,3,0,3,0
sga-principal,ec.edu.uteq.sga.presentation.controller,AsignacionController,60,0,0,0,12,0,9,0,9,0
sga-principal,ec.edu.uteq.sga.presentation.controller,GradoController,56,0,0,0,10,0,8,0,8,0
sga-principal,ec.edu.uteq.sga.presentation.controller,AuditoriaController,30,0,0,0,3,0,2,0,2,0
sga-principal,ec.edu.uteq.sga.presentation.controller,NotificacionController,26,0,0,0,7,0,4,0,4,0
sga-principal,ec.edu.uteq.sga.presentation.controller,AsignaturaController,39,0,0,0,7,0,6,0,6,0
sga-principal,ec.edu.uteq.sga.presentation.controller,DocenteActividadController,349,3,6,0,68,1,14,1,11,1
sga-principal,ec.edu.uteq.sga.presentation.controller,CalificacionesController,46,0,0,0,9,0,1,0,1,0
sga-principal,ec.edu.uteq.sga.presentation.controller,CalificacionRpcController,60,0,0,0,10,0,5,0,5,0
sga-principal,ec.edu.uteq.sga.presentation.controller,RepresentanteConsultaController,33,0,0,0,5,0,5,0,5,0
sga-principal,ec.edu.uteq.sga.infrastructure.security,JwtUtil,60,3,0,0,19,1,6,1,6,1
sga-principal,ec.edu.uteq.sga.infrastructure.security,UserDetailsServiceImpl,48,0,2,0,12,0,4,0,3,0
