GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sga-soporte-backend,ec.uteq.sga.soporte.common.jdbc,GenericRowMapper,0,85,0,11,0,20,0,11,0,4
sga-soporte-backend,ec.uteq.sga.soporte.security,SecurityFilterConfig,0,27,0,0,0,6,0,2,0,2
sga-soporte-backend,ec.uteq.sga.soporte.security,CurrentUserArgumentResolver,0,23,0,2,0,6,0,4,0,3
sga-soporte-backend,ec.uteq.sga.soporte.security,JwtService,0,44,0,2,0,14,0,3,0,2
sga-soporte-backend,ec.uteq.sga.soporte.security,JwtAuthFilter,0,76,1,3,0,24,1,4,0,3
sga-soporte-backend,ec.uteq.sga.soporte.security,AuthenticatedUser,0,43,0,12,0,4,0,9,0,3
sga-soporte-backend,ec.uteq.sga.soporte.presentation,ElectionController,0,34,0,0,0,8,0,2,0,2
sga-soporte-backend,ec.uteq.sga.soporte.presentation,UsuarioController,0,15,0,0,0,5,0,3,0,3
sga-soporte-backend,ec.uteq.sga.soporte.presentation,LogController,0,12,0,0,0,3,0,2,0,2
sga-soporte-backend,ec.uteq.sga.soporte.presentation,TecnicoController,0,10,0,0,0,4,0,2,0,2
sga-soporte-backend,ec.uteq.sga.soporte.presentation,TicketController,0,82,0,0,0,16,0,12,0,12
sga-soporte-backend,ec.uteq.sga.soporte.presentation,HealthController,0,25,0,0,0,6,0,2,0,2
sga-soporte-backend,ec.uteq.sga.soporte.infrastructure.persistence,JdbcTicketRepository,64,381,1,15,14,53,3,22,2,15
sga-soporte-backend,ec.uteq.sga.soporte.dto,TicketRequest,0,15,0,0,0,1,0,1,0,1
sga-soporte-backend,ec.uteq.sga.soporte.dto,AgregarComentarioDTO,0,21,0,0,0,6,0,5,0,5
sga-soporte-backend,ec.uteq.sga.soporte.dto,EscalarTicketRequest,0,12,0,0,0,1,0,1,0,1
sga-soporte-backend,ec.uteq.sga.soporte.dto,CrearTicketDTO,0,31,0,0,0,9,0,9,0,9
sga-soporte-backend,ec.uteq.sga.soporte.dto,ActualizarTicketRequest,0,12,0,0,0,1,0,1,0,1
sga-soporte-backend,ec.uteq.sga.soporte.dto,ComentarioRequest,0,9,0,0,0,1,0,1,0,1
sga-soporte-backend,ec.uteq.sga.soporte.domain,TicketComentario,0,52,0,0,0,16,0,13,0,13
sga-soporte-backend,ec.uteq.sga.soporte.domain,Ticket,0,98,0,0,0,29,0,25,0,25
sga-soporte-backend,ec.uteq.sga.soporte.domain,PrioridadTicket,0,27,0,0,0,5,0,1,0,1
sga-soporte-backend,ec.uteq.sga.soporte.domain,EstadoTicket,0,27,0,0,0,5,0,1,0,1
sga-soporte-backend,ec.uteq.sga.soporte.infrastructure.logging,MemoryLogAppender,4,106,3,5,1,20,3,6,0,5
sga-soporte-backend,ec.uteq.sga.soporte.election,LeaderElectionService.new StreamObserver() {...},23,0,0,0,6,0,4,0,4,0
sga-soporte-backend,ec.uteq.sga.soporte.election,LeaderElectionService,247,4,16,0,47,1,17,1,9,1
sga-soporte-backend,ec.uteq.sga.soporte.election,LeaderElectionService.new Election.Listener() {...},53,0,4,0,11,0,6,0,4,0
sga-soporte-backend,ec.uteq.sga.soporte.election,TicketScheduledTasks,0,99,0,8,0,20,0,8,0,4
sga-soporte-backend,ec.uteq.sga.soporte,SgaSoporteApplication,8,0,0,0,3,0,2,0,2,0
sga-soporte-backend,ec.uteq.sga.soporte.application.service,TecnicoService,2,59,1,1,1,16,1,6,0,6
sga-soporte-backend,ec.uteq.sga.soporte.infrastructure.config,WebConfig,37,54,0,0,8,8,2,3,2,3
sga-soporte-backend,ec.uteq.sga.soporte.infrastructure.config,WebConfig.new PathResourceResolver() {...},42,0,10,0,7,0,7,0,2,0
sga-soporte-backend,ec.uteq.sga.soporte.infrastructure.config,DataSourceConfig,0,72,0,2,0,14,0,4,0,3
sga-soporte-backend,ec.uteq.sga.soporte.common,GlobalExceptionHandler,49,247,6,12,7,37,7,20,3,14
sga-soporte-backend,ec.uteq.sga.soporte.common,ApiException,0,34,0,0,0,8,0,6,0,6
sga-soporte-backend,ec.uteq.sga.soporte.common,PageResult.Meta,0,15,0,0,0,1,0,1,0,1
sga-soporte-backend,ec.uteq.sga.soporte.common,PageResult,1,32,1,1,0,3,1,2,0,2
sga-soporte-backend,ec.uteq.sga.soporte.infrastructure.grpc,GrpcChannelConfig,23,0,2,0,8,0,4,0,3,0
sga-soporte-backend,ec.uteq.sga.soporte.infrastructure.grpc,InternalAuthInterceptor.new ServerCall.Listener() {...},6,0,0,0,1,0,1,0,1,0
sga-soporte-backend,ec.uteq.sga.soporte.infrastructure.grpc,InternalAuthInterceptor,43,0,4,0,9,0,5,0,3,0
sga-soporte-backend,ec.uteq.sga.soporte.infrastructure.grpc,IncidenciaGrpcServer,56,0,0,0,19,0,3,0,3,0
sga-soporte-backend,ec.uteq.sga.soporte.infrastructure.grpc,TecnicoGrpcClient,191,4,10,0,43,1,10,1,5,1
sga-soporte-backend,ec.uteq.sga.soporte.application,TicketService,9,436,23,47,1,87,23,29,0,17
