concurrencia_docentes,mecanismo,repeticion,transacciones_totales,throughput_tps,latencia_media_ms,latencia_mediana_ms,latencia_p95_ms,latencia_p99_ms,desviacion_std_ms
1,M0,1,20,20000.0,0.001,0.001,0.002,0.007,0.002
1,M0,2,20,20000.0,0.001,0.001,0.002,0.003,0.001
1,M0,3,20,20000.0,0.001,0.001,0.001,0.002,0.0
1,M0,4,20,20000.0,0.001,0.001,0.001,0.001,0.0
1,M0,5,20,20000.0,0.001,0.001,0.001,0.001,0.0
1,M0,6,20,20000.0,0.001,0.001,0.001,0.001,0.0
1,M0,7,20,20000.0,0.001,0.001,0.001,0.001,0.0
1,M0,8,20,20000.0,0.001,0.001,0.002,0.003,0.001
1,M0,9,20,20000.0,0.001,0.001,0.002,0.002,0.0
1,M0,10,20,20000.0,0.001,0.001,0.002,0.003,0.001
1,M1,1,20,20000.0,0.008,0.003,0.035,0.054,0.014
1,M1,2,20,20000.0,0.002,0.002,0.002,0.004,0.001
1,M1,3,20,20000.0,0.002,0.002,0.002,0.003,0.0
1,M1,4,20,20000.0,0.003,0.003,0.003,0.004,0.0
1,M1,5,20,20000.0,0.002,0.002,0.003,0.012,0.003
1,M1,6,20,20000.0,0.002,0.002,0.002,0.003,0.0
1,M1,7,20,20000.0,0.003,0.003,0.005,0.008,0.002
1,M1,8,20,20000.0,0.002,0.002,0.003,0.005,0.001
1,M1,9,20,20000.0,0.002,0.002,0.003,0.004,0.001
1,M1,10,20,20000.0,0.002,0.002,0.002,0.003,0.0
1,M2,1,20,20000.0,0.018,0.007,0.089,0.124,0.032
1,M2,2,20,20000.0,0.011,0.008,0.029,0.039,0.009
1,M2,3,20,20000.0,0.008,0.007,0.008,0.012,0.001
1,M2,4,20,20000.0,0.008,0.007,0.012,0.023,0.004
1,M2,5,20,20000.0,0.008,0.007,0.012,0.015,0.002
1,M2,6,20,20000.0,0.007,0.007,0.008,0.011,0.001
1,M2,7,20,20000.0,0.011,0.007,0.029,0.05,0.011
1,M2,8,20,20000.0,0.007,0.007,0.008,0.012,0.001
1,M2,9,20,20000.0,0.007,0.007,0.008,0.01,0.001
1,M2,10,20,20000.0,0.011,0.007,0.017,0.047,0.011
1,M3,1,20,20000.0,0.011,0.01,0.015,0.021,0.003
1,M3,2,20,20000.0,0.01,0.009,0.011,0.014,0.001
1,M3,3,20,20000.0,0.014,0.01,0.018,0.064,0.015
1,M3,4,20,20000.0,0.01,0.01,0.011,0.013,0.001
1,M3,5,20,20000.0,0.01,0.01,0.011,0.013,0.001
1,M3,6,20,20000.0,0.01,0.01,0.012,0.016,0.002
1,M3,7,20,20000.0,0.01,0.01,0.011,0.013,0.001
1,M3,8,20,20000.0,0.01,0.01,0.011,0.013,0.001
1,M3,9,20,20000.0,0.01,0.01,0.013,0.016,0.002
1,M3,10,20,20000.0,0.01,0.01,0.01,0.013,0.001
5,M0,1,100,100000.0,0.001,0.001,0.001,0.001,0.0
5,M0,2,100,100000.0,0.001,0.001,0.001,0.001,0.0
5,M0,3,100,100000.0,0.001,0.001,0.001,0.001,0.0
5,M0,4,100,100000.0,0.001,0.001,0.001,0.001,0.0
5,M0,5,100,100000.0,0.001,0.001,0.001,0.001,0.0
5,M0,6,100,100000.0,0.001,0.001,0.001,0.001,0.0
5,M0,7,100,100000.0,0.001,0.001,0.001,0.001,0.0
5,M0,8,100,100000.0,0.001,0.001,0.001,0.001,0.0
5,M0,9,100,100000.0,0.001,0.001,0.001,0.001,0.0
5,M0,10,100,100000.0,0.001,0.001,0.001,0.001,0.0
5,M1,1,100,100000.0,0.002,0.002,0.002,0.003,0.001
5,M1,2,100,100000.0,0.002,0.002,0.002,0.002,0.0
5,M1,3,100,100000.0,0.002,0.002,0.002,0.002,0.0
5,M1,4,100,100000.0,0.002,0.002,0.002,0.002,0.0
5,M1,5,100,100000.0,0.002,0.002,0.002,0.003,0.002
5,M1,6,100,100000.0,0.002,0.002,0.002,0.002,0.0
5,M1,7,100,100000.0,0.002,0.002,0.002,0.002,0.0
5,M1,8,100,100000.0,0.003,0.002,0.004,0.008,0.004
5,M1,9,100,100000.0,0.002,0.002,0.003,0.004,0.001
5,M1,10,100,100000.0,0.002,0.002,0.003,0.004,0.001
5,M2,1,100,79383.96,0.012,0.008,0.025,0.05,0.008
5,M2,2,100,77089.14,0.012,0.01,0.022,0.028,0.009
5,M2,3,100,66418.71,0.014,0.013,0.015,0.027,0.005
5,M2,4,100,84602.36,0.011,0.008,0.02,0.026,0.005
5,M2,5,100,98029.61,0.009,0.007,0.021,0.041,0.007
5,M2,6,100,100000.0,0.009,0.007,0.018,0.024,0.004
5,M2,7,100,100000.0,0.008,0.007,0.014,0.023,0.003
5,M2,8,100,100000.0,0.007,0.007,0.008,0.009,0.001
5,M2,9,100,100000.0,0.008,0.007,0.009,0.015,0.001
5,M2,10,100,100000.0,0.008,0.007,0.011,0.015,0.002
5,M3,1,100,36310.82,0.026,0.018,0.069,0.118,0.031
5,M3,2,100,66903.07,0.014,0.01,0.013,0.049,0.035
5,M3,3,100,90473.16,0.01,0.01,0.014,0.021,0.004
5,M3,4,100,53777.9,0.018,0.01,0.028,0.051,0.066
5,M3,5,100,92404.35,0.01,0.01,0.012,0.024,0.003
5,M3,6,100,94357.43,0.01,0.01,0.011,0.016,0.002
5,M3,7,100,91701.05,0.01,0.009,0.011,0.029,0.004
5,M3,8,100,83998.33,0.011,0.01,0.018,0.04,0.005
5,M3,9,100,94598.43,0.01,0.01,0.011,0.019,0.002
5,M3,10,100,51069.91,0.018,0.01,0.053,0.11,0.021
10,M0,1,200,200000.0,0.001,0.001,0.002,0.002,0.001
10,M0,2,200,200000.0,0.001,0.001,0.002,0.002,0.0
10,M0,3,200,200000.0,0.001,0.001,0.002,0.002,0.0
10,M0,4,200,200000.0,0.001,0.001,0.001,0.001,0.001
10,M0,5,200,200000.0,0.001,0.001,0.001,0.002,0.001
10,M0,6,200,200000.0,0.001,0.001,0.001,0.001,0.0
10,M0,7,200,200000.0,0.001,0.001,0.001,0.001,0.0
10,M0,8,200,200000.0,0.001,0.001,0.002,0.002,0.001
10,M0,9,200,200000.0,0.001,0.001,0.001,0.001,0.0
10,M0,10,200,200000.0,0.001,0.001,0.001,0.001,0.0
10,M1,1,200,200000.0,0.002,0.002,0.003,0.004,0.001
10,M1,2,200,200000.0,0.002,0.002,0.002,0.002,0.0
10,M1,3,200,200000.0,0.002,0.002,0.002,0.002,0.0
10,M1,4,200,200000.0,0.002,0.002,0.002,0.002,0.0
10,M1,5,200,200000.0,0.002,0.002,0.002,0.003,0.0
10,M1,6,200,200000.0,0.002,0.002,0.003,0.003,0.001
10,M1,7,200,200000.0,0.002,0.002,0.002,0.003,0.0
10,M1,8,200,200000.0,0.002,0.002,0.002,0.002,0.0
10,M1,9,200,200000.0,0.002,0.002,0.003,0.003,0.0
10,M1,10,200,200000.0,0.002,0.002,0.002,0.002,0.0
10,M2,1,200,79754.35,0.012,0.007,0.025,0.056,0.01
10,M2,2,200,130242.25,0.007,0.007,0.007,0.008,0.001
10,M2,3,200,127967.25,0.007,0.007,0.007,0.008,0.002
10,M2,4,200,102579.88,0.009,0.007,0.015,0.016,0.004
10,M2,5,200,124984.39,0.007,0.007,0.008,0.015,0.001
10,M2,6,200,131285.31,0.007,0.007,0.007,0.008,0.0
10,M2,7,200,132048.05,0.007,0.007,0.007,0.008,0.0
10,M2,8,200,130744.58,0.007,0.007,0.007,0.008,0.0
10,M2,9,200,75219.08,0.012,0.01,0.022,0.059,0.009
10,M2,10,200,125125.12,0.007,0.007,0.009,0.016,0.002
10,M3,1,200,95657.18,0.01,0.009,0.011,0.022,0.002
10,M3,2,200,98381.61,0.01,0.01,0.01,0.012,0.001
10,M3,3,200,99206.35,0.01,0.009,0.01,0.01,0.001
10,M3,4,200,97214.8,0.01,0.01,0.011,0.015,0.001
10,M3,5,200,78137.2,0.012,0.01,0.025,0.028,0.006
10,M3,6,200,94255.14,0.01,0.009,0.012,0.02,0.002
10,M3,7,200,98063.25,0.01,0.01,0.01,0.011,0.001
10,M3,8,200,97852.14,0.01,0.01,0.01,0.011,0.001
10,M3,9,200,98721.56,0.01,0.009,0.01,0.011,0.001
10,M3,10,200,98304.26,0.01,0.01,0.01,0.011,0.001
14,M0,1,280,280000.0,0.001,0.001,0.001,0.001,0.0
14,M0,2,280,280000.0,0.001,0.001,0.001,0.001,0.0
14,M0,3,280,280000.0,0.001,0.001,0.001,0.001,0.0
14,M0,4,280,280000.0,0.001,0.001,0.002,0.002,0.001
14,M0,5,280,280000.0,0.001,0.001,0.002,0.002,0.0
14,M0,6,280,280000.0,0.001,0.001,0.001,0.001,0.0
14,M0,7,280,280000.0,0.001,0.001,0.001,0.001,0.0
14,M0,8,280,280000.0,0.001,0.001,0.001,0.001,0.0
14,M0,9,280,280000.0,0.001,0.001,0.001,0.001,0.0
14,M0,10,280,280000.0,0.001,0.001,0.001,0.001,0.0
14,M1,1,280,280000.0,0.002,0.002,0.002,0.003,0.0
14,M1,2,280,280000.0,0.002,0.002,0.002,0.002,0.0
14,M1,3,280,280000.0,0.002,0.002,0.002,0.002,0.0
14,M1,4,280,280000.0,0.002,0.002,0.002,0.002,0.0
14,M1,5,280,280000.0,0.002,0.002,0.002,0.002,0.0
14,M1,6,280,280000.0,0.002,0.002,0.002,0.002,0.0
14,M1,7,280,280000.0,0.002,0.002,0.002,0.002,0.0
14,M1,8,280,280000.0,0.002,0.002,0.002,0.004,0.0
14,M1,9,280,280000.0,0.002,0.002,0.002,0.002,0.001
14,M1,10,280,280000.0,0.002,0.002,0.002,0.002,0.0
14,M2,1,280,93648.61,0.01,0.008,0.02,0.031,0.006
14,M2,2,280,128854.12,0.007,0.007,0.008,0.012,0.001
14,M2,3,280,130896.18,0.007,0.007,0.007,0.008,0.001
14,M2,4,280,130664.05,0.007,0.007,0.007,0.009,0.001
14,M2,5,280,130305.28,0.007,0.007,0.007,0.008,0.001
14,M2,6,280,128352.04,0.007,0.007,0.007,0.013,0.001
14,M2,7,280,118744.69,0.008,0.007,0.009,0.019,0.003
14,M2,8,280,121490.86,0.008,0.007,0.009,0.01,0.002
14,M2,9,280,129593.64,0.007,0.007,0.007,0.01,0.001
14,M2,10,280,129611.63,0.007,0.007,0.007,0.009,0.001
14,M3,1,280,97188.48,0.01,0.01,0.01,0.013,0.002
14,M3,2,280,85695.05,0.011,0.009,0.02,0.032,0.006
14,M3,3,280,81213.56,0.012,0.01,0.021,0.03,0.005
14,M3,4,280,96711.81,0.01,0.009,0.01,0.018,0.002
14,M3,5,280,95975.87,0.01,0.009,0.011,0.018,0.002
14,M3,6,280,92360.48,0.01,0.009,0.01,0.031,0.004
14,M3,7,280,90363.39,0.01,0.009,0.017,0.026,0.004
14,M3,8,280,96655.05,0.01,0.009,0.011,0.019,0.002
14,M3,9,280,95141.02,0.01,0.009,0.011,0.022,0.002
14,M3,10,280,92020.51,0.01,0.01,0.015,0.024,0.003
