repeticion,mecanismo,tipo_evento,lamport_docA,lamport_docB,vector_docA,vector_docB,conflicto_detectado,reconciliacion_automatica,estrategia_resolucion
1,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
1,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
2,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
2,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
3,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
3,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
4,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
4,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
5,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
5,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
6,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
6,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
7,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
7,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
8,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
8,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
9,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
9,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
10,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
10,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
11,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
11,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
12,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
12,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
13,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
13,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"{""docente-A"":2}","{""docente-A"":1,""docente-B"":1}",True,False,PRESERVAR_AMBAS_Y_RESOLVER_MANUALMENTE
