corrida,mecanismo,num_eventos,cadena_integra,estado_tabla_integro,falso_positivo,tiempo_verificacion_ms
1,M2,50,1,1,0,4.302
2,M2,50,1,1,0,4.925
3,M2,50,1,1,0,6.324
4,M2,50,1,1,0,3.85
5,M2,50,1,1,0,4.257
6,M2,50,1,1,0,4.239
7,M2,50,1,1,0,4.411
8,M2,50,1,1,0,6.745
9,M2,50,1,1,0,5.668
10,M2,50,1,1,0,9.089
11,M2,50,1,1,0,7.547
12,M2,50,1,1,0,6.096
13,M2,50,1,1,0,3.995
14,M2,50,1,1,0,4.363
15,M2,50,1,1,0,6.302
16,M2,50,1,1,0,5.308
17,M2,50,1,1,0,4.234
18,M2,50,1,1,0,4.954
19,M2,50,1,1,0,6.12
20,M2,50,1,1,0,4.07
21,M2,50,1,1,0,4.18
22,M2,50,1,1,0,5.384
23,M2,50,1,1,0,4.166
24,M2,50,1,1,0,6.336
25,M2,50,1,1,0,6.839
26,M2,50,1,1,0,4.806
27,M2,50,1,1,0,7.708
28,M2,50,1,1,0,5.179
29,M2,50,1,1,0,4.141
30,M2,50,1,1,0,3.961
