Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788565938,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788565939,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788565940,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788565941,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788565943,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788565944,25,,Aggregated,0.000000,0.000000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,5,5,4091.8586999177933,4082.201800076291,4078.2547001726925,4091.8586999177933,0.0
1788565945,30,,Aggregated,0.000000,0.000000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,10,10,4100,4096.059030061588,4078.2547001726925,4111.416999949142,0.0
1788565946,35,,Aggregated,0.000000,0.000000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,15,15,4100,4089.4477267128727,4074.2466000374407,4111.416999949142,0.0
1788565947,40,,Aggregated,0.833333,0.833333,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,20,20,4100,4094.483390043024,4074.2466000374407,4111.416999949142,0.0
1788565948,45,,Aggregated,1.875000,1.875000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,27,27,4100,4095.210485229338,4074.2466000374407,4111.416999949142,0.0
1788565949,55,,Aggregated,1.875000,1.875000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,36,36,4100,4096.241475018259,4074.2466000374407,4111.416999949142,0.0
1788565950,60,,Aggregated,2.222222,2.222222,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,45,45,4100,4098.112168908119,4074.2466000374407,4111.416999949142,0.0
1788565951,65,,Aggregated,3.600000,3.600000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,57,57,4100,4099.043596503243,4074.2466000374407,4114.5779001526535,0.0
1788565952,70,,Aggregated,3.600000,3.600000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,67,67,4100,4098.178080609763,4074.2466000374407,4114.5779001526535,0.0
1788565953,75,,Aggregated,5.500000,5.500000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,82,82,4100,4097.931303674492,4064.212900120765,4114.5779001526535,0.0
1788565954,80,,Aggregated,6.700000,6.700000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,96,96,4100,4096.341784388642,4056.2034000176936,4114.5779001526535,0.0
