id_corrida,mecanismo,repeticion,tipo_manipulacion,eventos_totales,manipulaciones_inyectadas,manipulaciones_detectadas,tasa_deteccion_pct,tiempo_verificacion_ms,latencia_registro_ms,estado
1,M0,1,T1,51,1,0,0.0,0.535,1.392,NO_DETECTADO
2,M0,1,T2,51,1,0,0.0,0.393,1.265,NO_DETECTADO
3,M0,1,T3,65,1,0,0.0,0.559,1.498,NO_DETECTADO
4,M0,1,T4,50,1,0,0.0,0.326,1.459,NO_DETECTADO
5,M0,1,T5,51,1,0,0.0,0.339,1.254,NO_DETECTADO
6,M0,2,T1,54,1,0,0.0,0.573,1.465,NO_DETECTADO
7,M0,2,T2,65,1,0,0.0,0.363,1.638,NO_DETECTADO
8,M0,2,T3,55,1,0,0.0,0.273,2.674,NO_DETECTADO
9,M0,2,T4,60,1,0,0.0,0.523,1.748,NO_DETECTADO
10,M0,2,T5,48,1,0,0.0,0.273,1.451,NO_DETECTADO
11,M0,3,T1,56,1,0,0.0,0.309,1.305,NO_DETECTADO
12,M0,3,T2,62,1,0,0.0,0.592,1.352,NO_DETECTADO
13,M0,3,T3,65,1,0,0.0,0.469,1.387,NO_DETECTADO
14,M0,3,T4,47,1,0,0.0,0.343,1.381,NO_DETECTADO
15,M0,3,T5,52,1,0,0.0,0.251,1.66,NO_DETECTADO
16,M0,4,T1,62,1,0,0.0,0.489,1.405,NO_DETECTADO
17,M0,4,T2,62,1,0,0.0,0.208,1.43,NO_DETECTADO
18,M0,4,T3,45,1,0,0.0,0.229,1.62,NO_DETECTADO
19,M0,4,T4,57,1,0,0.0,0.22,1.35,NO_DETECTADO
20,M0,4,T5,59,1,0,0.0,0.565,1.347,NO_DETECTADO
21,M0,5,T1,57,1,0,0.0,0.205,1.512,NO_DETECTADO
22,M0,5,T2,54,1,0,0.0,0.509,1.377,NO_DETECTADO
23,M0,5,T3,53,1,0,0.0,0.394,1.657,NO_DETECTADO
24,M0,5,T4,61,1,0,0.0,0.437,2.015,NO_DETECTADO
25,M0,5,T5,54,1,0,0.0,0.368,1.332,NO_DETECTADO
26,M0,6,T1,45,1,0,0.0,0.437,1.725,NO_DETECTADO
27,M0,6,T2,62,1,0,0.0,0.233,1.383,NO_DETECTADO
28,M0,6,T3,64,1,0,0.0,0.538,1.579,NO_DETECTADO
29,M0,6,T4,52,1,0,0.0,0.369,2.49,NO_DETECTADO
