concurrencia_docentes,mecanismo,repeticion,transacciones_totales,throughput_tps,latencia_media_ms,latencia_mediana_ms,latencia_p95_ms,latencia_p99_ms,desviacion_std_ms
1,M0,1,20,156.55,6.005,5.032,9.471,17.626,3.396
1,M0,2,20,139.35,6.62,6.545,9.368,11.065,1.628
1,M0,3,20,145.02,6.465,6.021,9.779,9.992,1.843
1,M0,4,20,181.77,5.061,5.285,6.046,6.5,0.859
1,M0,5,20,236.56,3.984,3.703,5.442,6.465,0.864
1,M0,6,20,255.67,3.679,3.606,4.165,4.183,0.263
1,M0,7,20,173.25,5.335,5.091,8.021,8.241,1.374
1,M0,8,20,202.93,4.583,4.281,6.683,7.038,0.983
1,M0,9,20,152.69,6.139,5.665,9.384,10.984,2.175
1,M0,10,20,196.14,4.633,4.117,7.031,8.393,1.375
1,M1,1,20,156.82,5.998,5.588,8.858,10.8,1.92
1,M1,2,20,148.11,6.289,5.786,9.045,10.699,1.643
1,M1,3,20,226.99,4.094,3.966,5.231,5.686,0.557
1,M1,4,20,204.86,4.579,4.335,5.782,7.207,0.921
1,M1,5,20,171.87,5.309,5.008,7.368,9.323,1.433
1,M1,6,20,265.44,3.537,3.504,4.472,4.505,0.392
1,M1,7,20,213.99,4.386,3.524,6.254,12.05,2.298
1,M1,8,20,209.89,4.412,4.219,5.766,7.392,1.035
1,M1,9,20,256.17,3.639,3.527,4.635,4.953,0.535
1,M1,10,20,229.7,4.074,3.675,5.969,6.81,1.018
1,M2,1,20,291.33,3.215,3.169,3.424,3.652,0.196
1,M2,2,20,252.47,3.666,3.613,4.548,4.551,0.374
1,M2,3,20,272.64,3.433,3.206,4.578,6.123,0.8
1,M2,4,20,257.02,3.656,3.414,3.94,7.79,1.216
1,M2,5,20,251.64,3.665,3.542,5.11,5.549,0.648
1,M2,6,20,293.13,3.193,3.188,3.633,3.775,0.25
1,M2,7,20,275.76,3.388,3.158,4.633,5.863,0.759
1,M2,8,20,268.96,3.495,3.385,4.333,4.452,0.383
1,M2,9,20,271.58,3.437,3.415,3.817,3.86,0.266
1,M2,10,20,267.26,3.501,3.203,4.221,6.256,0.866
1,M3,1,20,292.63,3.197,3.125,3.699,4.115,0.323
1,M3,2,20,291.86,3.213,3.26,3.461,3.691,0.216
1,M3,3,20,224.36,4.199,3.7,6.043,7.519,1.17
1,M3,4,20,172.9,5.17,4.738,7.133,9.387,1.758
1,M3,5,20,193.34,4.836,4.1,6.504,11.906,2.152
1,M3,6,20,232.81,3.999,3.813,5.419,6.048,0.673
1,M3,7,20,197.39,4.734,4.26,6.496,8.182,1.302
1,M3,8,20,164.38,5.731,5.551,9.738,11.311,2.502
1,M3,9,20,285.25,3.267,3.254,3.676,3.804,0.287
1,M3,10,20,270.67,3.427,3.305,4.192,4.428,0.389
5,M0,1,100,221.42,4.197,3.922,5.766,11.001,1.4
5,M0,2,100,236.04,3.913,3.446,6.093,7.727,1.218
5,M0,3,100,219.98,4.201,3.932,6.145,8.261,1.287
5,M0,4,100,288.12,3.239,3.043,4.717,5.385,0.617
5,M0,5,100,270.8,3.418,3.062,5.456,6.869,0.983
5,M0,6,100,276.97,3.336,2.981,5.052,6.866,0.9
5,M0,7,100,264.31,3.482,3.011,5.276,6.029,0.947
5,M0,8,100,194.72,4.684,4.248,7.796,12.444,2.548
5,M0,9,100,258.86,3.606,2.848,5.874,11.75,2.665
5,M0,10,100,299.9,3.071,2.827,4.277,6.465,0.76
5,M1,1,100,225.01,4.104,3.598,7.265,10.368,1.651
5,M1,2,100,313.91,2.959,2.7,5.176,6.686,0.862
5,M1,3,100,285.06,3.222,3.072,4.501,6.562,0.677
5,M1,4,100,322.07,2.856,2.779,3.374,4.437,0.532
5,M1,5,100,242.17,3.76,3.464,5.806,7.774,1.146
5,M1,6,100,339.2,2.722,2.651,3.186,3.433,0.45
5,M1,7,100,291.94,3.161,2.935,4.482,5.142,0.706
5,M1,8,100,233.54,3.933,3.426,6.434,9.637,1.503
5,M1,9,100,282.96,3.255,3.026,4.983,5.487,0.774
5,M1,10,100,301.14,3.049,2.982,3.961,4.995,0.506
5,M2,1,100,356.31,2.59,2.443,3.051,5.132,0.564
5,M2,2,100,337.24,2.73,2.621,3.185,4.714,0.572
5,M2,3,100,289.96,3.119,2.938,4.332,4.886,0.594
5,M2,4,100,314.68,2.908,2.721,3.837,6.084,0.712
5,M2,5,100,296.07,3.07,2.816,4.481,6.032,0.724
5,M2,6,100,322.99,2.845,2.631,4.147,4.725,0.697
5,M2,7,100,308.79,2.971,2.679,4.246,7.796,1.233
5,M2,8,100,285.37,3.236,2.995,5.281,5.877,0.998
5,M2,9,100,366.19,2.509,2.421,3.067,3.564,0.445
5,M2,10,100,289.53,3.127,2.856,4.582,5.886,0.838
5,M3,1,100,245.02,3.643,3.599,5.24,6.238,1.09
5,M3,2,100,368.18,2.504,2.441,2.842,3.193,0.437
5,M3,3,100,374.34,2.465,2.374,2.973,4.039,0.37
5,M3,4,100,378.38,2.436,2.379,2.777,3.381,0.327
5,M3,5,100,356.7,2.57,2.387,3.274,5.112,0.921
5,M3,6,100,342.83,2.664,2.552,3.512,4.723,0.496
5,M3,7,100,216.91,4.181,3.883,6.225,6.569,1.173
5,M3,8,100,337.59,2.71,2.456,4.637,5.983,0.809
5,M3,9,100,362.01,2.532,2.414,3.018,4.018,0.473
5,M3,10,100,375.15,2.438,2.348,2.802,2.979,0.411
10,M0,1,200,267.55,3.391,2.928,5.748,7.969,1.272
10,M0,2,200,325.54,2.811,2.707,3.577,6.141,0.62
10,M0,3,200,329.35,2.772,2.615,3.866,5.137,0.613
10,M0,4,200,361.47,2.545,2.426,3.471,4.256,0.417
10,M0,5,200,366.44,2.516,2.31,3.175,6.306,0.998
10,M0,6,200,341.64,2.675,2.379,4.33,6.336,0.96
10,M0,7,200,357.71,2.552,2.357,3.469,5.701,0.604
10,M0,8,200,384.36,2.393,2.308,2.801,4.033,0.53
10,M0,9,200,346.57,2.646,2.542,3.543,5.739,0.631
10,M0,10,200,347.24,2.626,2.414,3.689,5.686,0.821
10,M1,1,200,382.62,2.386,2.277,2.991,4.237,0.415
10,M1,2,200,352.91,2.586,2.398,3.711,5.074,0.682
10,M1,3,200,338.8,2.672,2.37,4.462,5.271,0.802
10,M1,4,200,390.11,2.352,2.275,2.726,4.093,0.377
10,M1,5,200,399.69,2.288,2.226,2.643,3.882,0.36
10,M1,6,200,301.77,2.985,2.738,4.735,6.366,0.963
10,M1,7,200,397.15,2.305,2.249,2.685,3.86,0.378
10,M1,8,200,360.95,2.525,2.32,3.538,5.369,0.93
10,M1,9,200,340.35,2.655,2.457,4.234,6.802,0.771
10,M1,10,200,337.49,2.709,2.418,4.092,5.307,0.797
10,M2,1,200,324.89,2.802,2.481,4.441,5.417,0.807
10,M2,2,200,365.2,2.516,2.292,3.872,4.86,0.662
10,M2,3,200,355.65,2.562,2.352,3.667,6.055,0.732
10,M2,4,200,359.16,2.537,2.326,3.828,5.286,0.643
10,M2,5,200,333.51,2.736,2.514,4.01,6.053,0.747
10,M2,6,200,297.07,3.033,2.577,5.656,7.484,1.435
10,M2,7,200,360.27,2.539,2.32,3.823,5.726,0.725
10,M2,8,200,356.03,2.552,2.348,3.652,4.914,0.676
10,M2,9,200,350.88,2.595,2.472,3.556,5.344,0.594
10,M2,10,200,290.04,3.116,2.93,4.732,7.075,0.894
10,M3,1,200,335.89,2.696,2.448,4.28,4.79,0.702
10,M3,2,200,387.61,2.348,2.207,3.317,4.343,0.488
10,M3,3,200,307.81,2.912,2.536,4.684,5.345,0.908
10,M3,4,200,377.71,2.414,2.243,3.452,4.353,0.536
10,M3,5,200,365.46,2.503,2.27,3.722,6.478,0.92
10,M3,6,200,351.93,2.588,2.387,3.593,5.726,0.758
10,M3,7,200,402.01,2.272,2.176,2.776,4.029,0.431
10,M3,8,200,319.85,2.808,2.572,4.449,5.837,0.828
10,M3,9,200,375.64,2.425,2.31,3.107,4.422,0.494
10,M3,10,200,377.61,2.404,2.332,3.245,3.96,0.389
14,M0,1,280,387.22,2.343,2.215,3.142,4.031,0.47
14,M0,2,280,393.95,2.306,2.181,2.921,4.566,0.581
14,M0,3,280,405.26,2.254,2.13,2.824,4.349,0.58
14,M0,4,280,407.41,2.236,2.142,2.923,4.624,0.481
14,M0,5,280,362.62,2.487,2.202,3.875,5.553,0.812
14,M0,6,280,304.72,2.926,2.665,4.657,6.108,0.897
14,M0,7,280,375.06,2.422,2.271,3.328,4.723,0.564
14,M0,8,280,316.55,2.88,2.572,4.528,6.457,1.02
14,M0,9,280,401.26,2.272,2.132,3.19,4.656,0.537
14,M0,10,280,342.74,2.643,2.324,4.464,5.924,1.009
14,M1,1,280,408.47,2.23,2.111,2.819,4.685,0.448
14,M1,2,280,355.51,2.546,2.304,3.987,5.88,0.799
14,M1,3,280,396.76,2.28,2.164,2.865,4.269,0.475
14,M1,4,280,408.73,2.227,2.124,2.823,4.215,0.436
14,M1,5,280,389.13,2.347,2.108,3.609,6.036,0.802
14,M1,6,280,368.46,2.463,2.163,4.112,7.671,1.021
14,M1,7,280,404.89,2.244,2.14,2.882,3.69,0.44
14,M1,8,280,398.98,2.267,2.168,2.862,3.901,0.404
14,M1,9,280,322.39,2.784,2.393,4.714,6.282,1.112
14,M1,10,280,378.89,2.384,2.132,4.13,6.483,0.828
14,M2,1,280,414.06,2.201,2.081,2.714,6.036,0.668
14,M2,2,280,313.41,2.864,2.518,4.665,5.575,0.963
14,M2,3,280,358.09,2.527,2.249,4.432,5.971,0.86
