repeticion,mecanismo,tipo_evento,lamport_docA,lamport_docB,vector_docA,vector_docB,conflicto_detectado,reconciliacion_automatica,estrategia_resolucion
1,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
1,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
2,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
2,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
3,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
3,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
4,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
4,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
5,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
5,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
6,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
6,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
7,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
7,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
8,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
8,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
9,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
9,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
10,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
10,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
11,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
11,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
12,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
12,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
13,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
13,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
14,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
14,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
15,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
15,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
16,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
16,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
17,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
17,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
18,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
18,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
19,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
19,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
20,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
20,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
21,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
21,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
22,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
22,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
23,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
23,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
24,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
24,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
25,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
25,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
26,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
26,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
27,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
27,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
28,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
28,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
29,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
29,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
30,M2,EDICION_CONCURRENTE_OFFLINE,6,6,N/A,N/A,True,False,BLOQUEO_INTERVENCION_MANUAL
30,M3,EDICION_CONCURRENTE_OFFLINE,6,6,"[2, 0, 0]","[1, 1, 0]",True,True,DETERMINISTA_MERGE_MAX(9.5)
