corrida,mecanismo,num_eventos,cadena_integra,estado_tabla_integro,falso_positivo,tiempo_verificacion_ms
1,M2,50,1,1,0,0.167
2,M2,50,1,1,0,0.15
3,M2,50,1,1,0,0.131
4,M2,50,1,1,0,0.139
5,M2,50,1,1,0,0.139
6,M2,50,1,1,0,0.144
7,M2,50,1,1,0,0.182
8,M2,50,1,1,0,0.132
9,M2,50,1,1,0,0.128
10,M2,50,1,1,0,0.13
11,M2,50,1,1,0,0.131
12,M2,50,1,1,0,0.128
13,M2,50,1,1,0,0.132
14,M2,50,1,1,0,0.134
15,M2,50,1,1,0,0.13
16,M2,50,1,1,0,0.213
17,M2,50,1,1,0,0.135
18,M2,50,1,1,0,0.131
19,M2,50,1,1,0,0.182
20,M2,50,1,1,0,0.138
21,M2,50,1,1,0,0.137
22,M2,50,1,1,0,0.142
23,M2,50,1,1,0,0.138
24,M2,50,1,1,0,0.139
25,M2,50,1,1,0,0.48
26,M2,50,1,1,0,0.286
27,M2,50,1,1,0,0.133
28,M2,50,1,1,0,0.117
29,M2,50,1,1,0,0.434
30,M2,50,1,1,0,0.129
