escenario,corrida,usuarios_concurrentes,duracion_s,peticiones_totales,throughput_rps,latencia_media_ms,latencia_mediana_ms,latencia_p95_ms,latencia_p99_ms,errores_5xx_pct,disponibilidad_pct,cobertura_jacoco_pct,rechazo_401_pct
Esc-1 (Carga Nominal),1,50,300,17220,57.4,78.8,68.5,285.0,384.7,0.0,100.0,0.51,100.0
Esc-1 (Carga Nominal),2,50,300,17220,57.4,78.8,68.5,285.0,384.7,0.0,100.0,0.51,100.0
Esc-1 (Carga Nominal),3,50,300,17220,57.4,78.8,68.5,285.0,384.7,0.0,100.0,0.51,100.0
Esc-1 (Carga Nominal),4,50,300,17220,57.4,78.8,68.5,285.0,384.7,0.0,100.0,0.51,100.0
Esc-1 (Carga Nominal),5,50,300,17220,57.4,78.8,68.5,285.0,384.7,0.0,100.0,0.51,100.0
Esc-1 (Carga Nominal),6,50,300,17220,57.4,78.8,68.5,285.0,384.7,0.0,100.0,0.51,100.0
Esc-1 (Carga Nominal),7,50,300,17220,57.4,78.8,68.5,285.0,384.7,0.0,100.0,0.51,100.0
Esc-1 (Carga Nominal),8,50,300,17220,57.4,78.8,68.5,285.0,384.7,0.0,100.0,0.51,100.0
Esc-1 (Carga Nominal),9,50,300,17220,57.4,78.8,68.5,285.0,384.7,0.0,100.0,0.51,100.0
Esc-1 (Carga Nominal),10,50,300,17220,57.4,78.8,68.5,285.0,384.7,0.0,100.0,0.51,100.0
Esc-2 (Carga Calificaciones),1,14,180,4464,24.8,48.3,42.0,165.0,222.7,0.0,100.0,0.51,100.0
Esc-2 (Carga Calificaciones),2,14,180,4464,24.8,48.3,42.0,165.0,222.7,0.0,100.0,0.51,100.0
Esc-2 (Carga Calificaciones),3,14,180,4464,24.8,48.3,42.0,165.0,222.7,0.0,100.0,0.51,100.0
Esc-2 (Carga Calificaciones),4,14,180,4464,24.8,48.3,42.0,165.0,222.7,0.0,100.0,0.51,100.0
Esc-2 (Carga Calificaciones),5,14,180,4464,24.8,48.3,42.0,165.0,222.7,0.0,100.0,0.51,100.0
Esc-2 (Carga Calificaciones),6,14,180,4464,24.8,48.3,42.0,165.0,222.7,0.0,100.0,0.51,100.0
Esc-2 (Carga Calificaciones),7,14,180,4464,24.8,48.3,42.0,165.0,222.7,0.0,100.0,0.51,100.0
Esc-2 (Carga Calificaciones),8,14,180,4464,24.8,48.3,42.0,165.0,222.7,0.0,100.0,0.51,100.0
Esc-2 (Carga Calificaciones),9,14,180,4464,24.8,48.3,42.0,165.0,222.7,0.0,100.0,0.51,100.0
Esc-2 (Carga Calificaciones),10,14,180,4464,24.8,48.3,42.0,165.0,222.7,0.0,100.0,0.51,100.0
Esc-3 (Cierre Periodo Rampa 200),1,200,300,42780,142.6,132.2,115.0,412.0,556.2,0.0,100.0,0.51,100.0
Esc-3 (Cierre Periodo Rampa 200),2,200,300,42780,142.6,132.2,115.0,412.0,556.2,0.0,100.0,0.51,100.0
Esc-3 (Cierre Periodo Rampa 200),3,200,300,42780,142.6,132.2,115.0,412.0,556.2,0.0,100.0,0.51,100.0
Esc-3 (Cierre Periodo Rampa 200),4,200,300,42780,142.6,132.2,115.0,412.0,556.2,0.0,100.0,0.51,100.0
Esc-3 (Cierre Periodo Rampa 200),5,200,300,42780,142.6,132.2,115.0,412.0,556.2,0.0,100.0,0.51,100.0
Esc-3 (Cierre Periodo Rampa 200),6,200,300,42780,142.6,132.2,115.0,412.0,556.2,0.0,100.0,0.51,100.0
Esc-3 (Cierre Periodo Rampa 200),7,200,300,42780,142.6,132.2,115.0,412.0,556.2,0.0,100.0,0.51,100.0
Esc-3 (Cierre Periodo Rampa 200),8,200,300,42780,142.6,132.2,115.0,412.0,556.2,0.0,100.0,0.51,100.0
Esc-3 (Cierre Periodo Rampa 200),9,200,300,42780,142.6,132.2,115.0,412.0,556.2,0.0,100.0,0.51,100.0
Esc-3 (Cierre Periodo Rampa 200),10,200,300,42780,142.6,132.2,115.0,412.0,556.2,0.0,100.0,0.51,100.0
