Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%

GET,[GET] /actuator/health,14063,0,4,4.910052670147146,2.208099998824764,198.1417999995756,49.0,23.467033251334573,0.0,4,5,6,6,8,9,11,12,27,56,200

GET,[GET] /api/soporte/election/status,14065,0,4,4.419174454283323,1.7956000010599382,33.8460999992094,78.0,23.470370666288897,0.0,4,5,5,6,7,8,10,12,21,28,34

GET,[GET] /api/soporte/tickets,28365,0,6,7.217620877855502,3.7277000010362826,313.4501000022283,84567.0,47.33288758971096,0.0,6,7,8,8,10,12,15,19,35,310,310

GET,[GET] /health,42640,0,4,4.3203698710307155,1.7883999971672893,56.43460000283085,83.99697467166979,71.15368682620395,0.0,4,4,5,6,7,8,10,11,21,40,56

,Aggregated,99133,0,5,5.247033247262721,1.7883999971672893,313.4501000022283,24251.366779982447,165.42397833353837,0.0,5,6,6,7,8,10,12,14,32,50,310

