Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790038567,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1790038568,5,,Aggregated,0.000000,0.000000,47,51,51,51,78,78,78,78,78,78,78,7,0,47,43.58264285734289,5.332100001396611,78.2169999947655,12142.142857142857
1790038569,10,,Aggregated,0.000000,0.000000,13,16,29,44,51,51,78,78,78,78,78,22,0,13,21.378849999812452,4.343499997048639,78.2169999947655,23116.31818181818
1790038570,15,,Aggregated,5.000000,0.000000,10,14,18,22,47,51,78,78,78,78,78,39,0,10,16.170302564158845,4.172100001596846,78.2169999947655,23904.0
1790038571,20,,Aggregated,7.500000,0.000000,8,11,16,22,44,51,51,78,78,78,78,65,0,8,14.413438461129912,3.3273000008193776,78.2169999947655,20873.246153846154
1790038572,30,,Aggregated,10.000000,0.000000,8,11,14,16,29,47,51,78,78,78,78,92,0,8,12.98005869545665,3.3273000008193776,78.2169999947655,26709.043478260868
1790038573,35,,Aggregated,12.500000,0.000000,7,10,12,14,23,44,51,51,78,78,78,122,0,7,11.51079426235214,3.3041999995475635,78.2169999947655,25009.090163934427
1790038574,40,,Aggregated,14.400000,0.000000,6,9,11,13,24,36,51,51,78,78,78,166,0,6,10.765584939613893,2.427500003250316,78.2169999947655,22472.21686746988
1790038575,45,,Aggregated,16.666667,0.000000,6,8,10,12,23,31,47,51,78,78,78,209,0,6,9.977065071808374,2.427500003250316,78.2169999947655,23928.44976076555
1790038576,50,,Aggregated,19.285714,0.000000,6,8,9,11,18,29,45,51,78,78,78,260,0,6,9.3335323077134,2.427500003250316,78.2169999947655,23473.71153846154
1790038577,50,,Aggregated,21.875000,0.000000,6,7,9,10,16,26,44,51,78,78,78,317,0,6,8.745886750730623,2.1529000005102716,78.2169999947655,23264.501577287065
1790038578,50,,Aggregated,24.666667,0.000000,5,7,8,9,16,24,43,51,78,78,78,360,0,5,8.21626888880726,2.1529000005102716,78.2169999947655,22841.527777777777
1790038579,50,,Aggregated,27.400000,0.000000,5,7,8,9,14,23,36,47,78,78,78,418,0,5,7.74597153110409,2.1529000005102716,78.2169999947655,22917.035885167465
1790038580,50,,Aggregated,32.000000,0.000000,5,6,7,8,13,22,34,47,78,78,78,471,0,5,7.308430997845732,1.988899995922111,78.2169999947655,22499.696390658173
1790038581,50,,Aggregated,35.700000,0.000000,5,6,7,8,12,19,31,45,78,78,78,519,0,5,7.0342809248252225,1.988899995922111,78.2169999947655,22867.72061657033
1790038582,50,,Aggregated,40.000000,0.000000,5,6,7,8,11,18,29,45,78,78,78,573,0,5,6.886054275716988,1.988899995922111,78.2169999947655,23373.9092495637
1790038583,50,,Aggregated,42.800000,0.000000,5,6,7,7,11,17,29,44,78,78,78,614,0,5,6.698967263858852,1.9126999977743253,78.2169999947655,23744.793159609122
1790038584,50,,Aggregated,45.900000,0.000000,5,6,7,7,10,16,29,44,78,78,78,668,0,5,6.520771257478073,1.9126999977743253,78.2169999947655,23222.78143712575
1790038585,50,,Aggregated,47.800000,0.000000,5,6,6,7,10,16,28,43,78,78,78,716,0,5,6.394306983250891,1.9126999977743253,78.2169999947655,22969.03491620112
1790038586,50,,Aggregated,49.200000,0.000000,5,5,6,7,10,15,26,43,78,78,78,768,0,5,6.220655598942433,1.8018999980995432,78.2169999947655,23289.372395833332
1790038587,50,,Aggregated,50.000000,0.000000,5,5,6,7,9,14,25,36,78,78,78,819,0,5,6.074526984137195,1.7345000014756806,78.2169999947655,23288.210012210013
1790038588,50,,Aggregated,50.000000,0.000000,5,5,6,7,9,13,24,36,78,78,78,867,0,5,5.982346251481261,1.7345000014756806,78.2169999947655,23854.598615916955
1790038589,50,,Aggregated,49.900000,0.000000,5,5,6,7,9,13,24,34,78,78,78,918,0,5,5.8996970588862565,1.7345000014756806,78.2169999947655,24374.298474945535
1790038590,50,,Aggregated,50.300000,0.000000,4,5,6,6,9,13,23,34,78,78,78,969,0,4,5.790311867988179,1.4216999989002943,78.2169999947655,24403.46646026832
1790038591,50,,Aggregated,50.300000,0.000000,4,5,6,6,8,13,23,31,51,78,78,1020,0,4,5.69967892164748,1.4216999989002943,78.2169999947655,24181.118627450982
1790038592,50,,Aggregated,49.800000,0.000000,4,5,6,6,8,12,23,31,51,78,78,1067,0,4,5.620932333714602,1.4216999989002943,78.2169999947655,23831.950328022493
1790038593,50,,Aggregated,49.500000,0.000000,4,5,6,6,8,12,22,29,51,78,78,1120,0,4,5.537544464349204,1.4216999989002943,78.2169999947655,24291.995535714286
1790038594,50,,Aggregated,49.100000,0.000000,4,5,6,6,8,11,22,29,51,78,78,1170,0,4,5.4688023077361345,1.4216999989002943,78.2169999947655,24268.153846153848
1790038595,50,,Aggregated,49.700000,0.000000,4,5,6,6,8,11,22,29,51,78,78,1221,0,4,5.380040704355684,1.4216999989002943,78.2169999947655,23949.65765765766
1790038596,50,,Aggregated,49.900000,0.000000,4,5,6,6,8,11,22,29,51,78,78,1272,0,4,5.303307311319631,1.4216999989002943,78.2169999947655,23855.98034591195
1790038597,50,,Aggregated,50.200000,0.000000,4,5,5,6,8,11,19,29,51,78,78,1318,0,4,5.2461559180756705,1.4216999989002943,78.2169999947655,23987.57890743551
1790038598,50,,Aggregated,50.300000,0.000000,4,5,5,6,7,10,18,29,51,78,78,1369,0,4,5.181885317780363,1.4216999989002943,78.2169999947655,23775.720964207452
1790038599,50,,Aggregated,50.300000,0.000000,4,5,5,6,7,10,18,28,51,78,78,1417,0,4,5.129742272425034,1.4216999989002943,78.2169999947655,23807.649964714186
1790038600,50,,Aggregated,49.700000,0.000000,4,5,5,6,7,10,18,28,51,78,78,1470,0,4,5.082006462591107,1.4216999989002943,78.2169999947655,23814.104081632653
1790038601,50,,Aggregated,49.700000,0.000000,4,5,5,6,7,10,17,26,51,78,78,1518,0,4,5.054566139676134,1.4216999989002943,78.2169999947655,23842.683135704876
1790038602,50,,Aggregated,49.500000,0.000000,4,5,5,6,7,10,16,26,51,78,78,1574,0,4,5.0219159466377565,1.4216999989002943,78.2169999947655,23748.655654383736
1790038603,50,,Aggregated,50.000000,0.000000,4,5,5,6,7,10,16,25,51,78,78,1618,0,4,4.986331396798369,1.4216999989002943,78.2169999947655,23731.49196538937
1790038604,50,,Aggregated,50.000000,0.000000,4,5,5,6,7,9,16,25,51,78,78,1671,0,4,4.950493955718754,1.4216999989002943,78.2169999947655,23790.150807899463
1790038606,50,,Aggregated,50.100000,0.000000,4,5,5,6,7,9,16,24,51,78,78,1713,0,4,4.934599591372276,1.4216999989002943,78.2169999947655,23899.2469352014
1790038607,50,,Aggregated,49.200000,0.000000,4,5,5,6,7,9,16,24,51,78,78,1769,0,4,4.891284171863614,1.4216999989002943,78.2169999947655,23670.418880723573
1790038608,50,,Aggregated,49.400000,0.000000,4,5,5,6,7,9,16,24,51,78,78,1815,0,4,4.878795427024414,1.4216999989002943,78.2169999947655,23863.826997245178
