Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790039867,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1790039868,5,,Aggregated,0.000000,0.000000,24,25,27,27,34,34,34,34,34,34,34,7,0,24,20.330871429385816,3.0679000046802685,34.17099999933271,79.0
1790039869,10,,Aggregated,0.000000,0.000000,9,16,22,24,27,34,34,34,34,34,34,17,0,9,12.91455294139108,2.1568000011029653,34.17099999933271,14990.35294117647
1790039870,20,,Aggregated,5.000000,0.000000,8,14,22,23,30,34,37,37,37,37,37,36,0,8,11.99138888902477,2.1568000011029653,36.641899998357985,21200.194444444445
1790039871,25,,Aggregated,7.000000,0.000000,6,8,10,16,25,33,34,37,37,37,37,58,0,6,9.170049999926865,1.2911000012536533,36.641899998357985,21928.603448275862
1790039872,30,,Aggregated,9.333333,0.000000,5,6,9,11,22,27,34,37,37,37,37,88,0,5,7.77599090898465,1.2911000012536533,36.641899998357985,22160.590909090908
1790039873,35,,Aggregated,11.750000,0.000000,5,6,8,9,16,25,33,34,37,37,37,120,0,4,6.8836683331028325,1.2911000012536533,36.641899998357985,24017.283333333333
1790039874,40,,Aggregated,13.600000,0.000000,5,6,7,8,14,23,30,34,37,37,37,158,0,5,6.509131645394012,1.2911000012536533,36.641899998357985,26815.227848101265
1790039875,45,,Aggregated,16.333333,0.000000,4,5,6,7,12,16,27,33,37,37,37,202,0,4,5.959304950497111,1.2911000012536533,36.641899998357985,24336.851485148516
1790039876,50,,Aggregated,19.000000,0.000000,3,5,6,7,11,16,25,33,37,37,37,253,0,3,5.579026482290479,1.2911000012536533,36.641899998357985,24121.683794466404
1790039877,50,,Aggregated,21.500000,0.000000,3,5,6,6,11,15,24,30,37,37,37,308,0,3,5.299412012958216,1.2911000012536533,36.641899998357985,24765.646103896102
1790039878,50,,Aggregated,24.111111,0.000000,3,5,5,6,10,13,23,30,37,37,37,363,0,3,5.032496143256079,1.2648000047192909,36.641899998357985,24749.093663911844
1790039879,50,,Aggregated,26.300000,0.000000,3,5,5,6,10,13,22,27,37,37,37,407,0,3,4.938895331744445,1.2648000047192909,36.641899998357985,24365.230958230957
1790039880,50,,Aggregated,31.200000,0.000000,3,5,5,6,9,12,19,27,37,37,37,459,0,3,4.778533551229081,1.2648000047192909,36.641899998357985,24558.934640522875
1790039881,50,,Aggregated,35.800000,0.000000,3,5,5,6,8,12,16,25,37,37,37,509,0,3,4.620319842881809,1.2648000047192909,36.641899998357985,24810.041257367386
1790039882,50,,Aggregated,39.300000,0.000000,3,4,5,6,8,12,16,25,37,37,37,557,0,3,4.4960285458124165,1.2648000047192909,36.641899998357985,25105.547576301615
1790039883,50,,Aggregated,41.900000,0.000000,3,4,5,5,7,11,16,24,37,37,37,606,0,3,4.3671613861523335,1.2648000047192909,36.641899998357985,25173.00495049505
1790039884,50,,Aggregated,45.100000,0.000000,3,4,5,5,7,11,16,24,37,37,37,651,0,3,4.260159907836167,1.2648000047192909,36.641899998357985,25125.393241167436
1790039885,50,,Aggregated,47.100000,0.000000,3,4,5,5,7,10,16,23,37,37,37,704,0,3,4.181299005639713,1.2648000047192909,36.641899998357985,25999.955965909092
1790039886,50,,Aggregated,48.200000,0.000000,3,4,5,5,7,10,15,23,37,37,37,758,0,3,4.095765435342501,1.2648000047192909,36.641899998357985,25602.284960422163
1790039887,50,,Aggregated,49.500000,0.000000,3,4,4,5,6,10,14,22,37,37,37,810,0,3,4.014030740663545,1.2648000047192909,36.641899998357985,25215.325925925925
1790039888,50,,Aggregated,49.600000,0.000000,3,4,4,5,6,9,14,22,37,37,37,862,0,3,3.960856612470042,1.2648000047192909,36.641899998357985,25070.92807424594
1790039889,50,,Aggregated,50.100000,0.000000,3,4,4,5,6,9,14,19,37,37,37,915,0,3,3.907354863364023,1.2648000047192909,36.641899998357985,24823.53770491803
1790039890,50,,Aggregated,49.800000,0.000000,3,4,4,5,6,8,13,19,37,37,37,961,0,3,3.8638059312945185,1.2648000047192909,36.641899998357985,24693.981269510925
1790039891,50,,Aggregated,50.000000,0.000000,3,4,4,5,6,8,13,16,34,37,37,1010,0,3,3.8231000989458828,1.2648000047192909,36.641899998357985,24419.98118811881
1790039892,50,,Aggregated,50.000000,0.000000,3,4,4,5,6,8,12,16,34,37,37,1065,0,3,3.7820092018378326,1.2648000047192909,36.641899998357985,24828.86854460094
1790039893,50,,Aggregated,50.600000,0.000000,3,4,4,4,6,8,12,16,34,37,37,1107,0,3,3.7490632339138177,1.0763000027509406,36.641899998357985,25187.275519421863
1790039894,50,,Aggregated,50.100000,0.000000,3,4,4,4,6,8,12,16,34,37,37,1164,0,3,3.7195682130457755,1.0763000027509406,36.641899998357985,25264.25773195876
1790039895,50,,Aggregated,49.900000,0.000000,3,4,4,4,6,8,12,16,34,37,37,1211,0,3,3.699748802634368,1.0763000027509406,36.641899998357985,25612.200660611066
1790039896,50,,Aggregated,49.700000,0.000000,3,4,4,4,5,7,12,16,34,37,37,1263,0,3,3.6676289786172473,1.0763000027509406,36.641899998357985,25831.929532858274
1790039897,50,,Aggregated,50.200000,0.000000,3,4,4,4,5,7,12,16,34,37,37,1306,0,3,3.6362675344522444,1.0763000027509406,36.641899998357985,25566.105666156203
1790039898,50,,Aggregated,50.600000,0.000000,3,4,4,4,5,7,12,16,34,37,37,1362,0,3,3.612265785616804,1.0763000027509406,36.641899998357985,25324.48898678414
1790039899,50,,Aggregated,50.400000,0.000000,3,4,4,4,5,7,12,16,34,37,37,1411,0,3,3.6249270021473534,1.0763000027509406,36.641899998357985,25585.335223245926
1790039900,50,,Aggregated,49.900000,0.000000,3,4,4,4,5,7,11,16,34,37,37,1463,0,3,3.59972809297639,1.0763000027509406,36.641899998357985,25429.37047163363
1790039901,50,,Aggregated,49.200000,0.000000,3,4,4,4,5,7,11,15,34,37,37,1510,0,3,3.578316423853486,1.0763000027509406,36.641899998357985,25535.573509933776
1790039902,50,,Aggregated,49.500000,0.000000,3,4,4,4,5,7,11,15,34,37,37,1559,0,3,3.5643947402341576,1.0763000027509406,36.641899998357985,25494.1180243746
1790039903,50,,Aggregated,49.300000,0.000000,3,4,4,4,5,7,11,14,34,37,37,1602,0,3,3.5479712234891383,1.0763000027509406,36.641899998357985,25444.744694132336
1790039904,50,,Aggregated,49.400000,0.000000,3,4,4,4,5,7,11,14,34,37,37,1653,0,3,3.535795523294533,1.0763000027509406,36.641899998357985,25428.753176043556
1790039905,50,,Aggregated,49.900000,0.000000,3,4,4,4,5,7,11,14,34,37,37,1704,0,3,3.517271889682769,1.0763000027509406,36.641899998357985,25413.74295774648
1790039906,50,,Aggregated,49.600000,0.000000,3,4,4,4,5,7,11,14,34,37,37,1752,0,3,3.5031489155304563,1.0763000027509406,36.641899998357985,25491.114726027397
1790039907,50,,Aggregated,48.800000,0.000000,3,4,4,4,5,7,11,14,34,37,37,1799,0,3,3.493529016130605,1.0763000027509406,36.641899998357985,25625.47859922179
1790039908,50,,Aggregated,48.600000,0.000000,3,4,4,4,5,7,10,14,34,37,37,1845,0,3,3.4732919783337133,1.0763000027509406,36.641899998357985,25492.285094850948
1790039910,50,,Aggregated,48.400000,0.000000,3,4,4,4,5,7,10,14,34,37,37,1897,0,3,3.4587143384165726,1.0763000027509406,36.641899998357985,25196.403795466525
1790039911,50,,Aggregated,48.600000,0.000000,3,4,4,4,5,6,10,13,34,37,37,1948,0,3,3.4485270533853787,1.0763000027509406,36.641899998357985,25232.68993839836
1790039912,50,,Aggregated,48.100000,0.000000,3,3,4,4,5,6,10,13,34,37,37,1997,0,3,3.4346989985043814,1.0763000027509406,36.641899998357985,25292.424136204307
1790039913,50,,Aggregated,48.100000,0.000000,3,3,4,4,5,6,10,13,33,37,37,2046,0,3,3.415310263939076,1.0763000027509406,36.641899998357985,24977.673998044967
1790039914,50,,Aggregated,48.100000,0.000000,3,3,4,4,5,6,10,13,33,37,37,2095,0,3,3.4018382339048987,1.0763000027509406,36.641899998357985,24959.87923627685
1790039915,50,,Aggregated,47.900000,0.000000,3,3,4,4,5,6,10,12,33,37,37,2147,0,3,3.3966857941497133,1.0763000027509406,36.641899998357985,24986.874708896135
1790039916,50,,Aggregated,48.600000,0.000000,3,3,4,4,5,6,10,12,33,37,37,2203,0,3,3.382630140739644,1.0763000027509406,36.641899998357985,25044.00226963232
1790039917,50,,Aggregated,48.900000,0.000000,3,3,4,4,5,6,10,12,33,37,37,2254,0,3,3.3711860248687393,1.0763000027509406,36.641899998357985,25041.326530612245
1790039918,50,,Aggregated,49.600000,0.000000,3,3,4,4,5,6,9,12,33,37,37,2304,0,3,3.364112239593295,1.0763000027509406,36.641899998357985,25196.305121527777
1790039919,50,,Aggregated,49.700000,0.000000,3,3,4,4,5,6,9,12,33,37,37,2357,0,3,3.3552224013721177,1.0763000027509406,36.641899998357985,25240.776834959695
1790039920,50,,Aggregated,49.800000,0.000000,3,3,4,4,5,6,9,12,33,37,37,2404,0,3,3.360855615664,1.0763000027509406,36.641899998357985,25275.922628951746
1790039921,50,,Aggregated,50.400000,0.000000,3,3,4,4,5,6,9,12,33,37,37,2457,0,3,3.355513431035443,1.0763000027509406,36.641899998357985,25179.444851444852
1790039922,50,,Aggregated,50.300000,0.000000,3,3,4,4,5,6,9,12,33,37,37,2505,0,3,3.346943113791497,1.0763000027509406,36.641899998357985,25170.640718562874
1790039923,50,,Aggregated,50.300000,0.000000,3,3,4,4,5,6,9,12,33,37,37,2552,0,3,3.3399161442172374,1.0763000027509406,36.641899998357985,25271.313087774295
1790039924,50,,Aggregated,50.400000,0.000000,3,3,4,4,5,6,9,12,33,37,37,2601,0,3,3.330909573261309,1.0763000027509406,36.641899998357985,25218.94925028835
1790039925,50,,Aggregated,50.100000,0.000000,3,3,4,4,5,6,9,12,33,37,37,2653,0,3,3.325886845100863,1.0763000027509406,36.641899998357985,25140.0795326046
1790039926,50,,Aggregated,50.400000,0.000000,3,3,4,4,5,6,8,12,33,37,37,2701,0,3,3.3153322103117553,1.0763000027509406,36.641899998357985,25070.074416882635
1790039927,50,,Aggregated,49.900000,0.000000,3,3,4,4,5,6,8,12,33,37,37,2751,0,3,3.3087025082017236,1.0763000027509406,36.641899998357985,25045.766993820427
1790039928,50,,Aggregated,49.200000,0.000000,3,3,4,4,5,6,8,12,33,37,37,2803,0,3,3.2969538351965126,1.0763000027509406,36.641899998357985,24823.71494826971
1790039929,50,,Aggregated,49.500000,0.000000,3,3,4,4,5,6,8,12,33,37,37,2857,0,3,3.290586979362616,1.0763000027509406,36.641899998357985,24977.00805040252
1790039930,50,,Aggregated,50.000000,0.000000,3,3,4,4,5,6,8,12,33,37,37,2899,0,3,3.2954055191527964,1.0763000027509406,36.641899998357985,25082.547430148326
1790039931,50,,Aggregated,50.000000,0.000000,3,3,4,4,5,6,8,11,33,37,37,2954,0,3,3.2871557887661584,1.0763000027509406,36.641899998357985,25046.041299932294
1790039932,50,,Aggregated,49.100000,0.000000,3,3,4,4,5,6,8,11,33,37,37,2997,0,3,3.284999532869699,1.0763000027509406,36.641899998357985,25054.284951618283
1790039933,50,,Aggregated,48.600000,0.000000,3,3,4,4,5,6,8,11,30,37,37,3045,0,3,3.2781192446602563,1.021500000206288,36.641899998357985,24965.788505747125
1790039934,50,,Aggregated,48.700000,0.000000,3,3,4,4,5,6,8,11,30,37,37,3094,0,3,3.2775842598600673,1.021500000206288,36.641899998357985,25008.536845507435
1790039935,50,,Aggregated,49.000000,0.000000,3,3,4,4,5,6,8,11,30,37,37,3146,0,3,3.2722257152030823,1.021500000206288,36.641899998357985,25026.128099173555
1790039936,50,,Aggregated,48.600000,0.000000,3,3,4,4,5,6,8,11,30,37,37,3194,0,3,3.265214558563783,1.021500000206288,36.641899998357985,24995.0729492799
1790039937,50,,Aggregated,49.200000,0.000000,3,3,4,4,5,6,8,11,30,37,37,3239,0,3,3.2604716579335924,1.021500000206288,36.641899998357985,24961.895955541833
1790039938,50,,Aggregated,48.700000,0.000000,3,3,4,4,5,6,8,11,30,37,37,3293,0,3,3.2560709080042094,1.021500000206288,36.641899998357985,25118.253871849378
1790039939,50,,Aggregated,48.700000,0.000000,3,3,4,4,5,6,8,11,30,37,37,3342,0,3,3.251639946154357,1.021500000206288,36.641899998357985,25130.35368043088
1790039940,50,,Aggregated,48.100000,0.000000,3,3,4,4,5,6,8,11,30,37,37,3393,0,3,3.2577860006065182,1.021500000206288,36.641899998357985,25127.247273799
1790039941,50,,Aggregated,48.000000,0.000000,3,3,4,4,5,6,8,11,30,37,37,3441,0,3,3.249789043907081,1.021500000206288,36.641899998357985,25146.129904097645
1790039942,50,,Aggregated,48.800000,0.000000,3,3,4,4,5,6,8,11,30,37,37,3494,0,3,3.243852461382755,1.021500000206288,36.641899998357985,25128.553806525473
1790039943,50,,Aggregated,49.200000,0.000000,3,3,4,4,5,5,8,11,30,37,37,3546,0,3,3.2356904117566057,1.021500000206288,36.641899998357985,25023.289340101524
1790039944,50,,Aggregated,49.300000,0.000000,3,3,4,4,5,5,8,11,30,37,37,3593,0,3,3.2272999165363077,1.021500000206288,36.641899998357985,24932.150013915947
1790039945,50,,Aggregated,49.300000,0.000000,3,3,4,4,5,5,8,10,30,37,37,3642,0,3,3.221997583772611,1.021500000206288,36.641899998357985,24876.12300933553
1790039946,50,,Aggregated,49.400000,0.000000,3,3,4,4,5,5,8,10,30,37,37,3691,0,3,3.2160574370368047,1.021500000206288,36.641899998357985,24844.448929829316
1790039947,50,,Aggregated,49.500000,0.000000,3,3,4,4,5,5,8,10,30,37,37,3743,0,3,3.2133368154181494,1.021500000206288,36.641899998357985,24884.075340635853
1790039948,50,,Aggregated,49.700000,0.000000,3,3,4,4,5,5,8,10,30,37,37,3793,0,3,3.2083038755934794,1.021500000206288,36.641899998357985,24913.447403110993
1790039949,50,,Aggregated,49.300000,0.000000,3,3,4,4,5,5,8,10,30,37,37,3842,0,3,3.2042665278643385,1.021500000206288,36.641899998357985,24970.523685580425
1790039950,50,,Aggregated,49.700000,0.000000,3,3,4,4,5,5,8,10,30,37,37,3896,0,3,3.205426129379684,1.021500000206288,36.641899998357985,24929.070328542093
1790039951,50,,Aggregated,49.800000,0.000000,3,3,4,4,5,5,8,10,30,37,37,3941,0,3,3.2043092616269866,1.021500000206288,36.641899998357985,25009.750317178383
1790039952,50,,Aggregated,49.600000,0.000000,3,3,4,4,5,5,8,10,30,37,37,3998,0,3,3.1972348174215246,1.021500000206288,36.641899998357985,24781.112806403202
1790039953,50,,Aggregated,49.800000,0.000000,3,3,4,4,5,5,8,10,27,37,37,4035,0,3,3.1934898637105764,1.021500000206288,36.641899998357985,24743.010161090457
1790039954,50,,Aggregated,49.100000,0.000000,3,3,4,4,5,5,8,10,27,37,37,4085,0,3,3.1938008323243126,1.021500000206288,36.641899998357985,24875.415667074663
1790039955,50,,Aggregated,48.500000,0.000000,3,3,4,4,5,5,8,10,27,37,37,4137,0,3,3.191101619539606,1.021500000206288,36.641899998357985,24808.803480783175
1790039956,50,,Aggregated,49.200000,0.000000,3,3,4,4,5,5,8,10,27,37,37,4186,0,3,3.18452200191526,1.021500000206288,36.641899998357985,24640.374343048257
1790039957,50,,Aggregated,49.000000,0.000000,3,3,4,4,5,5,8,10,27,37,37,4237,0,3,3.179864408783613,1.021500000206288,36.641899998357985,24583.995987727165
1790039958,50,,Aggregated,49.000000,0.000000,3,3,4,4,5,5,8,10,27,37,37,4286,0,3,3.175241273917729,1.021500000206288,36.641899998357985,24599.495100326643
1790039959,50,,Aggregated,49.200000,0.000000,3,3,4,4,5,5,7,10,27,37,37,4337,0,3,3.174426654379614,1.021500000206288,36.641899998357985,24681.27138575052
1790039960,50,,Aggregated,49.500000,0.000000,3,3,4,4,5,5,7,10,27,37,37,4387,0,3,3.175530863929344,1.021500000206288,36.641899998357985,24670.45338500114
1790039961,50,,Aggregated,48.700000,0.000000,3,3,4,4,5,5,8,10,27,37,37,4438,0,3,3.1801953132145564,1.021500000206288,36.641899998357985,24654.32199188824
1790039962,50,,Aggregated,48.800000,0.000000,3,3,4,4,5,5,8,10,27,37,37,4480,0,3,3.183456830366335,1.021500000206288,36.641899998357985,24706.773214285713
1790039963,50,,Aggregated,49.300000,0.000000,3,3,4,4,5,5,7,10,27,37,37,4528,0,3,3.1838035556639324,1.021500000206288,36.641899998357985,24669.578180212015
1790039964,50,,Aggregated,49.300000,0.000000,3,3,4,4,5,5,7,10,27,37,37,4584,0,3,3.1766936082159947,1.021500000206288,36.641899998357985,24479.71989528796
1790039965,50,,Aggregated,49.900000,0.000000,3,3,4,4,5,5,7,10,27,37,37,4633,0,3,3.1755333261594227,1.021500000206288,36.641899998357985,24458.677099071876
1790039966,50,,Aggregated,48.700000,0.000000,3,3,4,4,5,5,7,10,27,37,37,4683,0,3,3.1733754431059493,1.021500000206288,36.641899998357985,24487.027546444588
1790039967,50,,Aggregated,48.600000,0.000000,3,3,4,4,5,5,7,10,27,37,37,4726,0,3,3.1747729369614004,1.021500000206288,36.641899998357985,24515.22513753703
1790039968,50,,Aggregated,49.200000,0.000000,3,3,4,4,5,5,7,10,27,37,37,4785,0,3,3.172824284243772,1.021500000206288,36.641899998357985,24602.355694879832
1790039969,50,,Aggregated,48.900000,0.000000,3,3,4,4,5,5,7,10,27,37,37,4833,0,3,3.1694015518529435,1.021500000206288,36.641899998357985,24516.11814607904
