Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%

GET,[GET] /actuator/health,2023,0,4,4.410598961834756,2.3102999984985217,64.0133999986574,49.0,6.778734342562969,0.0,4,4,5,5,6,7,8,10,34,64,64

GET,[GET] /api/soporte/election/status,2093,0,4,3.9426376970333674,2.0396999971126206,40.493599997716956,78.0,7.0132926243125535,0.0,4,4,4,5,5,6,7,8,17,40,40

GET,[GET] /api/soporte/tickets,4169,0,6,7.052935740001222,3.984100003435742,66.25879999774043,84567.0,13.969621094485921,0.0,6,7,7,8,9,10,16,23,40,66,66

GET,[GET] /health,6283,0,4,3.822731656786833,1.7915999997057952,43.428200006019324,83.99570268979787,21.05328120332335,0.0,4,4,4,4,5,6,8,9,28,43,43

,Aggregated,14568,0,4,4.845997700393967,1.7915999997057952,66.25879999774043,24255.21341295991,48.81492926468479,0.0,4,5,6,6,7,8,10,14,34,64,66

