Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790040807,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1790040808,5,,Aggregated,0.000000,0.000000,22,22,22,22,43,43,43,43,43,43,43,6,0,17,20.174399999329278,3.0762999958824366,43.10499999701278,14158.666666666666
1790040809,10,,Aggregated,0.000000,0.000000,9,15,19,19,22,22,43,43,43,43,43,21,0,9,12.340371428373535,3.0762999958824366,43.10499999701278,16169.333333333334
1790040810,15,,Aggregated,5.000000,0.000000,6,14,19,19,22,22,43,43,43,43,43,36,0,6,11.083427778228522,3.0762999958824366,43.10499999701278,16501.36111111111
1790040811,25,,Aggregated,6.000000,0.000000,6,9,17,19,22,37,43,44,44,44,44,63,0,6,10.707460317736684,2.874999998311978,44.26719999901252,20190.84126984127
1790040812,30,,Aggregated,8.666667,0.000000,6,8,14,17,22,25,43,44,44,44,44,94,0,6,9.59887553208899,2.507600001990795,44.26719999901252,21646.478723404256
1790040813,35,,Aggregated,11.000000,0.000000,5,8,14,17,22,37,41,43,44,44,44,125,0,5,9.932240000111051,2.180299998144619,44.26719999901252,19001.128
1790040814,40,,Aggregated,13.800000,0.000000,5,7,9,14,21,35,41,43,44,44,44,160,0,5,8.913325625280777,2.180299998144619,44.26719999901252,19085.2875
1790040815,45,,Aggregated,16.500000,0.000000,5,6,8,10,19,23,38,41,44,44,44,202,0,5,8.285996534852691,2.180299998144619,44.26719999901252,19733.054455445545
1790040816,50,,Aggregated,18.000000,0.000000,5,7,9,11,19,23,41,44,61,61,61,252,0,5,8.466371428637233,2.0184999957564287,61.49059999734163,22203.04365079365
1790040817,50,,Aggregated,20.750000,0.000000,5,6,8,9,18,22,38,43,61,61,61,302,0,5,8.001760264948421,2.0184999957564287,61.49059999734163,23854.903973509932
1790040818,50,,Aggregated,23.111111,0.000000,5,6,7,9,17,22,38,43,61,61,61,348,0,5,7.697933620686948,2.0184999957564287,61.49059999734163,24353.456896551725
1790040819,50,,Aggregated,25.500000,0.000000,5,6,7,8,15,21,38,43,61,61,61,394,0,5,7.307465989890196,2.0184999957564287,61.49059999734163,24950.34771573604
1790040821,50,,Aggregated,29.700000,0.000000,5,6,7,7,14,20,37,41,61,61,61,443,0,5,6.9947374718909945,1.834000002418179,61.49059999734163,24678.654627539505
1790040822,50,,Aggregated,36.800000,0.000000,4,6,7,7,14,19,35,41,61,61,61,496,0,4,6.701910080708682,1.834000002418179,61.49059999734163,24604.90120967742
1790040823,50,,Aggregated,39.900000,0.000000,4,6,6,7,11,18,35,41,61,61,61,546,0,4,6.502694688679718,1.834000002418179,61.49059999734163,24215.532967032967
1790040824,50,,Aggregated,42.600000,0.000000,4,6,6,7,11,18,32,41,61,61,61,597,0,4,6.479184254602716,1.834000002418179,61.49059999734163,24417.91122278057
1790040825,50,,Aggregated,44.400000,0.000000,4,6,6,7,11,18,25,38,61,61,61,643,0,4,6.366641679599908,1.834000002418179,61.49059999734163,24647.53032659409
1790040826,50,,Aggregated,46.700000,0.000000,4,6,6,7,10,17,23,38,61,61,61,696,0,4,6.248710488448681,1.834000002418179,61.49059999734163,24718.57183908046
