Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%

GET,[GET] /actuator/health,2113,0,4,4.38021940376381,2.2021999902790412,47.50000000058208,49.0,7.081787579376154,0.0,4,4,5,5,6,7,8,10,33,48,48

GET,[GET] /api/soporte/election/status,2026,0,4,3.995902220926168,1.982199988560751,41.07420000946149,78.0,6.790204276297249,0.0,4,4,4,5,5,6,8,9,25,41,41

GET,[GET] /api/soporte/tickets,4183,0,6,7.1025353095441,3.8745999918319285,312.9625000001397,84651.0,14.019459273322505,0.0,6,7,7,8,9,10,15,27,37,310,310

GET,[GET] /health,6288,0,4,3.8469187342130593,1.9070999987889081,31.771899986779317,83.99713740458016,21.074434594944275,0.0,4,4,4,4,5,6,8,9,28,32,32

,Aggregated,14610,0,4,4.876826262854485,1.9070999987889081,312.9625000001397,24290.545653661877,48.96588572394018,0.0,4,5,6,6,7,8,10,13,34,48,310

